rank,show name,IMDb page link,IMDb rating,# of ratings,genre,airing years,rating system,top casts
227,Community(2009),http://imdb.com/title/tt1439629/,8.4,238000,Comedy,2009–2015,TV-14,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase, Gillian Jacobs, Alison Brie, Ken Jeong, Yvette Nicole Brown, Jim Rash, Richard Erdman, Erik Charles Nielsen, Dino Stamatopoulos, Danielle Kaplowitz, John Oliver, Charley Koontz, Luke Youngblood, Paget Brewster, Keith David"
228,Inside No. 9(2014),http://imdb.com/title/tt2674806/,8.4,15000,"Comedy, Drama, Horror",2014– ,TV-MA,"Reece Shearsmith, Steve Pemberton, Derek Jacobi, Rosie Cavaliero, Aimee-Ffion Edwards, Denis Lawson, Katherine Parkinson, Sheridan Smith, Christopher Whitlow, Peter Kay, Alexandra Roach, Jaygann Ayeh, Monica Dolan, Weruche Opia, Nicola Walker, Jenna Coleman, Phil Davis, David Morrissey"
229,The Punisher(2017),http://imdb.com/title/tt5675620/,8.4,201000,"Action, Crime, Drama",2017–2019,TV-MA,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore, Ebon Moss-Bachrach, Floriana Lima, Josh Stewart, Giorgia Whigham, Jaime Ray Newman, Kobi Frumer, Paul Schulze, Michael Nathanson, Royce Johnson, Tony Plana, Ripley Sobo, Daniel Webber, Kelli Barrett, Samuel María Gómez"
230,Horace and Pete(2016),http://imdb.com/title/tt5425186/,8.4,16000,"Comedy, Drama",2016,TV-MA,"Louis C.K., Steve Buscemi, Edie Falco, Steven Wright, Kurt Metzger, Alan Alda, Jessica Lange, Liza Treyger, Aidy Bryant, Nick Di Paolo, Maria Dizzia, Tom Noonan, Dov Davidoff, Craig muMs Grant, Reg E. Cathey, Greer Barnes, Karen Pittman, Mark Normand"
231,Generation War(2013),http://imdb.com/title/tt1883092/,8.4,28000,"Action, Drama, History",2013,TV-MA,"Volker Bruch, Tom Schilling, Katharina Schüttler, Miriam Stein, Ludwig Trepte, Mark Waschke, Henriette Richter-Röhl, Götz Schubert, Hildegard Schroedter, Christiane Paul, Sylvester Groth, Alina Levshin, Lucas Gregorowicz, Maxim Mehmet, Adam Markiewicz, Johanna Gastdorf, Peter Kremer, Trystan Pütter"
232,Flames(2018),http://imdb.com/title/tt7927936/,8.4,27000,"Comedy, Drama, Romance",2018–2019,TV-14,"Ritvik Sahore, Tanya Maniktala, Sunakshi Grover, Shivam Kakar, Deepesh Sumitra Jagdish, Farabi Md Refat, Kunal Aneja, Sachin Kathuria, Neelu Dogra, Sachin Vidrohi, Purnendu Bhattacharya, Anushka Sharma, Raj Sharma, Sahil Verma, Ujjawal Aggarwal, Simar Singh Oberoi, Lalit Shokeen, Manan Madaan"
233,Feud: Bette and Joan(2017),http://imdb.com/title/tt1984119/,8.4,18000,"Biography, Drama",2017,TV-MA,"Jessica Lange, Susan Sarandon, Judy Davis, Jackie Hoffman, Alfred Molina, Stanley Tucci, Alison Wright, Catherine Zeta-Jones, Dominic Burgess, Joel Kelley Dauten, Kathy Bates, Kiernan Shipka, Molly Price, Brooke Star, Chelsea Summer, Reed Diamond, Matthew Glave, Ken Lerner"
234,Ghost in the Shell: Stand Alone Complex(2002),http://imdb.com/title/tt0346314/,8.4,19000,"Animation, Action, Crime",2002–2005,TV-MA,"Shirô Saitô, Mary Elizabeth McGlynn, William Frederick Knight, Richard Epcar, Crispin Freeman, Peggy O'Neal, Dino Andrade, Kevin Brief, Loy Edge, Barbara Goodson, Kate Higgins, Patricia Ja Lee, Michael McConnohie, Liam O'Brien, Douglas Rye, Barry Stigler, Doug Stone, Julie Ann Taylor"
235,Futurama(1999),http://imdb.com/title/tt0149460/,8.4,222000,"Animation, Comedy, Sci-Fi",1999–2013,TV-14,"Billy West, John DiMaggio, Katey Sagal, Tress MacNeille, Phil LaMarr, Lauren Tom, Maurice LaMarche, David Herman, Frank Welker, Kath Soucie, Dawnn Lewis, Tom Kenny, Dan Castellaneta, George Takei, Nicole St. John, Phil Hendrie, Al Gore, Pamela Anderson"
236,Jesus of Nazareth(1977),http://imdb.com/title/tt0075520/,8.4,21000,"Biography, Drama, History",1977,TV-G,"Robert Powell, Olivia Hussey, Laurence Olivier, James Mason, Anne Bancroft, Ernest Borgnine, Claudia Cardinale, Valentina Cortese, James Farentino, James Earl Jones, Stacy Keach, Tony Lo Bianco, Ian McShane, Donald Pleasence, Christopher Plummer, Anthony Quinn, Fernando Rey, Ralph Richardson"
